,Global CO2 flux from cont. arcs (Mt C/yr),Global CO2 flux from cont. arcs (Mt C/yr),Global CO2 flux from cont. arcs (Mt C/yr)
Age (Ma),min,mean,max
673,4.205660377,6.242413793,8.331255814
674,4.160306513,6.173448276,8.240522193
675,4.11816092,6.104482759,8.146527415
676,4.076015326,6.046342105,8.052532637
677,4.033869732,5.991078947,7.958537859
678,3.991724138,5.935815789,7.874940334
679,3.949642857,5.880552632,7.798568019
680,3.913928571,5.825289474,7.722195704
681,3.878214286,5.770026316,7.645823389
682,3.8425,5.714763158,7.571106095
683,3.806785714,5.65975,7.498871332
684,3.771071429,5.605802632,7.426636569
685,3.735357143,5.551855263,7.354401806
686,3.698648208,5.497907895,7.282167043
687,3.661188925,5.443960526,7.21877712
688,3.623729642,5.390013158,7.15566075
689,3.586270358,5.336065789,7.092544379
690,3.548811075,5.282118421,7.029428008
691,3.511351792,5.232728298,6.966311637
